epoch: 1/20, train_loss: 7.2108, train_acc: 0.0000 
epoch: 2/20, train_loss: 6.9776, train_acc: 0.0028 
epoch: 3/20, train_loss: 6.9643, train_acc: 0.0014 
epoch: 4/20, train_loss: 6.9058, train_acc: 0.0028 
epoch: 5/20, train_loss: 6.6835, train_acc: 0.0056 
epoch: 6/20, train_loss: 6.0769, train_acc: 0.0431 
epoch: 7/20, train_loss: 4.9981, train_acc: 0.2361 
epoch: 8/20, train_loss: 3.2013, train_acc: 0.6236 
epoch: 9/20, train_loss: 1.2876, train_acc: 0.8861 
epoch: 10/20, train_loss: 0.8738, train_acc: 0.8903 
epoch: 11/20, train_loss: 0.4956, train_acc: 0.9389 
epoch: 12/20, train_loss: 0.3744, train_acc: 0.9486 
epoch: 13/20, train_loss: 0.3207, train_acc: 0.9500 
epoch: 14/20, train_loss: 0.2240, train_acc: 0.9667 
epoch: 15/20, train_loss: 0.2619, train_acc: 0.9639 
epoch: 16/20, train_loss: 0.1994, train_acc: 0.9681 
epoch: 17/20, train_loss: 0.5347, train_acc: 0.9167 
epoch: 18/20, train_loss: 0.4130, train_acc: 0.9361 
epoch: 19/20, train_loss: 0.2675, train_acc: 0.9611 
epoch: 20/20, train_loss: 0.3467, train_acc: 0.9458 
